Player;Nation;Pos;Squad;Comp;Age;Born;MP;Starts;Min;90s;Gls;Ast;G+A;G-PK;PK;PKatt;CrdY;CrdR;xG;npxG;xAG;npxG+xAG;PrgC;PrgP;PrgR;Gls_90;Ast_90;G+A_90;G-PK_90;G+A-PK_90;xG_90;xAG_90;xG+xAG_90;npxG_90;npxG+xAG_90;is_attacker;cluster;top_score
Ousmane Dembélé;fr FRA;FW;Paris S-G;fr Ligue 1;27.0;1997.0;29;20;1730;19.2;21;6;27;20;1;1;1;0;16.6;15.8;8.2;24.0;127;137;252;1.09;0.31;1.4;1.04;1.35;0.86;0.43;1.29;0.82;1.25;1;1;2.841276942995192
Mateo Retegui;it ITA;FW;Atalanta;it Serie A;25.0;1999.0;36;32;2383;26.5;25;8;33;21;4;5;3;0;18.9;14.9;4.9;19.8;21;46;199;0.94;0.3;1.25;0.79;1.1;0.71;0.18;0.9;0.56;0.75;1;1;1.9368572898708074
Bradley Barcola;fr FRA;FW;Paris S-G;fr Ligue 1;21.0;2002.0;34;27;2181;24.2;14;10;24;14;0;0;2;0;13.4;13.4;10.1;23.5;137;96;374;0.58;0.41;0.99;0.58;0.99;0.55;0.42;0.97;0.55;0.97;1;1;1.6864167748814545
Omar Marmoush;eg EGY;FW;Eint Frankfurt;de Bundesliga;25.0;1999.0;17;17;1448;16.1;15;9;24;13;2;2;2;0;8.8;7.3;6.2;13.5;73;50;125;0.93;0.56;1.49;0.81;1.37;0.55;0.39;0.94;0.45;0.84;1;1;1.5850061993392635
Alexander Isak;se SWE;FW;Newcastle Utd;eng Premier League;24.0;1999.0;34;34;2756;30.6;23;6;29;19;4;4;1;0;20.3;17.2;4.3;21.6;83;88;217;0.75;0.2;0.95;0.62;0.82;0.66;0.14;0.81;0.56;0.7;1;1;1.522241023565074
Serhou Guirassy;gn GUI;FW;Dortmund;de Bundesliga;28.0;1996.0;30;29;2598;28.9;21;4;25;18;3;4;4;0;22.7;19.6;3.9;23.5;25;43;128;0.73;0.14;0.87;0.62;0.76;0.79;0.14;0.92;0.68;0.81;1;1;1.5004418603190837
Hugo Ekitike;fr FRA;FW;Eint Frankfurt;de Bundesliga;22.0;2002.0;33;31;2563;28.5;15;8;23;14;1;3;1;0;21.6;19.3;6.8;26.0;93;53;215;0.53;0.28;0.81;0.49;0.77;0.76;0.24;0.99;0.68;0.91;1;1;1.472220312642968
Leroy Sané;de GER;FW;Bayern Munich;de Bundesliga;28.0;1996.0;30;17;1637;18.2;11;5;16;11;0;0;2;0;10.2;10.2;5.5;15.8;75;64;266;0.6;0.27;0.88;0.6;0.88;0.56;0.3;0.87;0.56;0.87;1;1;1.3490207062485098
Georges Mikautadze;ge GEO;FW;Lyon;fr Ligue 1;23.0;2000.0;34;13;1449;16.1;11;6;17;8;3;4;2;0;10.3;7.0;4.3;11.4;37;54;140;0.68;0.37;1.06;0.5;0.87;0.64;0.27;0.91;0.44;0.71;1;1;1.1534651956930093
Riccardo Orsolini;it ITA;FW;Bologna;it Serie A;27.0;1997.0;30;23;1878;20.9;15;4;19;12;3;3;2;0;10.1;7.8;3.7;11.5;61;69;186;0.72;0.19;0.91;0.58;0.77;0.49;0.18;0.66;0.37;0.55;1;1;0.9412262937266955
Yoane Wissa;cd COD;FW;Brentford;eng Premier League;27.0;1996.0;35;34;2919;32.4;19;4;23;19;0;0;5;0;18.5;18.5;2.6;21.1;60;67;154;0.59;0.12;0.71;0.59;0.71;0.57;0.08;0.65;0.57;0.65;1;1;0.9267329830030426
Luis Díaz;co COL;FW;Liverpool;eng Premier League;27.0;1997.0;36;28;2399;26.7;13;5;18;13;0;0;2;0;12.0;12.0;5.0;17.1;108;110;293;0.49;0.19;0.68;0.49;0.68;0.45;0.19;0.64;0.45;0.64;1;1;0.9008293265575172
Ollie Watkins;eng ENG;FW;Aston Villa;eng Premier League;28.0;1995.0;38;31;2598;28.9;16;8;24;14;2;2;2;0;15.3;13.8;3.3;17.1;55;31;165;0.55;0.28;0.83;0.48;0.76;0.53;0.12;0.65;0.48;0.59;1;1;0.8504723787432799
Jonathan David;ca CAN;FW;Lille;fr Ligue 1;24.0;2000.0;32;28;2554;28.4;16;5;21;10;6;7;4;0;16.2;10.7;4.4;15.1;40;65;184;0.56;0.18;0.74;0.35;0.53;0.57;0.16;0.73;0.38;0.53;1;1;0.7603668146805855
Lamine Yamal;es ESP;FW;Barcelona;es La Liga;17.0;2007.0;35;31;2856;31.7;9;13;22;9;0;0;3;0;9.8;9.8;13.9;23.8;181;160;433;0.28;0.41;0.69;0.28;0.69;0.31;0.44;0.75;0.31;0.75;1;1;0.7572504351305571
Bryan Mbeumo;cm CMR;FW;Brentford;eng Premier League;24.0;1999.0;38;38;3414;37.9;20;7;27;15;5;6;3;0;12.3;7.5;8.3;15.9;130;141;351;0.53;0.18;0.71;0.4;0.58;0.32;0.22;0.54;0.2;0.42;1;1;0.651353934129383
Cody Gakpo;nl NED;FW;Liverpool;eng Premier League;25.0;1999.0;35;23;1935;21.5;10;4;14;10;0;0;5;0;7.1;7.1;4.4;11.5;59;52;278;0.47;0.19;0.65;0.47;0.65;0.33;0.2;0.53;0.33;0.53;1;1;0.527412221278003
Tim Kleindienst;de GER;FW;Gladbach;de Bundesliga;28.0;1995.0;31;31;2737;30.4;16;7;23;15;1;2;5;1;13.6;11.9;6.2;18.0;45;63;145;0.53;0.23;0.76;0.49;0.72;0.45;0.2;0.65;0.39;0.59;1;1;0.5167900860883025
Lautaro Martínez;ar ARG;FW;Inter;it Serie A;26.0;1997.0;31;31;2564;28.5;12;3;15;12;0;0;1;0;13.5;13.5;4.3;17.8;34;68;197;0.42;0.11;0.53;0.42;0.53;0.47;0.15;0.62;0.47;0.62;1;1;0.5059731586487517
Marcus Thuram;fr FRA;FW;Inter;it Serie A;26.0;1997.0;32;27;2290;25.4;14;4;18;14;0;0;1;0;9.9;9.9;4.4;14.3;62;53;170;0.55;0.16;0.71;0.55;0.71;0.39;0.17;0.56;0.39;0.56;1;1;0.49727187651451404
Brennan Johnson;wls WAL;FW;Tottenham;eng Premier League;23.0;2001.0;33;24;2177;24.2;11;3;14;11;0;0;5;0;10.4;10.4;2.3;12.7;60;71;197;0.45;0.12;0.58;0.45;0.58;0.43;0.09;0.52;0.43;0.52;1;1;0.4753518011347782
Nicolas Jackson;sn SEN;FW;Chelsea;eng Premier League;23.0;2001.0;30;28;2220;24.7;10;5;15;10;0;0;7;1;12.3;12.3;4.3;16.6;47;38;129;0.41;0.2;0.61;0.41;0.61;0.5;0.17;0.67;0.5;0.67;1;1;0.4441781339024936
Harvey Barnes;eng ENG;FW;Newcastle Utd;eng Premier League;26.0;1997.0;33;17;1755;19.5;9;4;13;9;0;0;0;0;7.2;7.2;4.0;11.2;93;83;192;0.46;0.21;0.67;0.46;0.67;0.37;0.2;0.57;0.37;0.57;1;1;0.39455470166259865
Noni Madueke;eng ENG;FW;Chelsea;eng Premier League;22.0;2002.0;32;27;2033;22.6;7;3;10;7;0;0;3;0;9.6;9.6;4.2;13.9;154;69;226;0.31;0.13;0.44;0.31;0.44;0.43;0.19;0.61;0.43;0.61;1;1;0.31705600169119724
Mohamed Amoura;dz ALG;FW;Wolfsburg;de Bundesliga;24.0;2000.0;31;29;2467;27.4;10;9;19;8;2;2;6;0;8.7;7.2;4.0;11.2;81;61;244;0.36;0.33;0.69;0.29;0.62;0.32;0.15;0.46;0.26;0.41;1;1;0.2610973548662371
Rafael Leão;pt POR;FW;Milan;it Serie A;25.0;1999.0;34;25;2323;25.8;8;8;16;8;0;0;5;0;7.6;7.6;8.4;15.9;123;93;262;0.31;0.31;0.62;0.31;0.62;0.29;0.32;0.62;0.29;0.62;1;1;0.2144530469228485
Kingsley Coman;fr FRA;FW;Bayern Munich;de Bundesliga;28.0;1996.0;28;14;1282;14.2;5;4;9;5;0;0;0;0;4.3;4.3;3.3;7.6;66;45;215;0.35;0.28;0.63;0.35;0.63;0.3;0.23;0.53;0.3;0.53;1;1;0.15481016020652927
Dango Ouattara;bf BFA;FW;Bournemouth;eng Premier League;22.0;2002.0;32;21;2005;22.3;7;4;11;7;0;0;3;0;8.4;8.4;5.5;13.8;79;43;191;0.31;0.18;0.49;0.31;0.49;0.38;0.25;0.62;0.38;0.62;1;1;0.1382906621611318
Antoine Semenyo;gh GHA;FW;Bournemouth;eng Premier League;24.0;2000.0;37;36;3203;35.6;11;5;16;11;0;0;9;0;10.0;10.0;5.8;15.8;140;109;282;0.31;0.14;0.45;0.31;0.45;0.28;0.16;0.44;0.28;0.44;1;1;0.11487485518764577
Dan Ndoye;ch SUI;FW;Bologna;it Serie A;23.0;2000.0;30;26;2143;23.8;8;4;12;6;2;2;4;0;7.0;5.4;3.8;9.2;132;74;231;0.34;0.17;0.5;0.25;0.42;0.29;0.16;0.45;0.23;0.39;1;1;-0.01135301651357854
Dodi Lukebakio;be BEL;FW;Sevilla;es La Liga;26.0;1997.0;38;36;3092;34.4;11;2;13;10;1;1;3;1;10.1;9.3;4.5;13.8;131;93;247;0.32;0.06;0.38;0.29;0.35;0.29;0.13;0.42;0.27;0.4;1;1;-0.026757897636210927
Nikola Krstović;me MNE;FW;Lecce;it Serie A;24.0;2000.0;37;37;3057;34.0;11;5;16;9;2;3;6;0;12.1;9.7;2.9;12.6;42;56;149;0.32;0.15;0.47;0.26;0.41;0.36;0.08;0.44;0.29;0.37;1;1;-0.12101328336850237
Franck Honorat;fr FRA;FW;Gladbach;de Bundesliga;27.0;1996.0;19;18;1439;16.0;4;7;11;4;0;0;0;0;4.5;4.5;5.3;9.8;63;45;124;0.25;0.44;0.69;0.25;0.69;0.28;0.33;0.61;0.28;0.61;1;1;-0.1904056132806665
Malick Fofana;be BEL;FW;Lyon;fr Ligue 1;19.0;2005.0;29;16;1589;17.7;5;4;9;5;0;0;2;0;3.8;3.8;3.7;7.6;112;45;205;0.28;0.23;0.51;0.28;0.51;0.22;0.21;0.43;0.22;0.43;1;1;-0.2235647796661857
Nico Williams;es ESP;FW;Athletic Club;es La Liga;22.0;2002.0;29;22;1996;22.2;5;5;10;5;0;0;1;0;4.2;4.2;3.5;7.7;118;69;254;0.23;0.23;0.45;0.23;0.45;0.19;0.16;0.35;0.19;0.35;1;1;-0.2545001129477908
Matthis Abline;fr FRA;FW;Nantes;fr Ligue 1;21.0;2003.0;34;33;2768;30.8;9;2;11;8;1;1;3;0;8.5;7.7;3.8;11.5;75;48;169;0.29;0.07;0.36;0.26;0.33;0.28;0.12;0.4;0.25;0.37;1;1;-0.3209055637618821
Antony;br BRA;FW;Betis;es La Liga;24.0;2000.0;17;15;1362;15.1;5;2;7;5;0;0;2;1;2.9;2.9;3.5;6.3;94;67;157;0.33;0.13;0.46;0.33;0.46;0.19;0.23;0.42;0.19;0.42;1;1;-0.41945755805400325
Gustav Isaksen;dk DEN;FW;Lazio;it Serie A;23.0;2001.0;37;29;2210;24.6;4;2;6;4;0;0;5;0;5.2;5.2;2.1;7.3;95;46;249;0.16;0.08;0.24;0.16;0.24;0.21;0.09;0.3;0.21;0.3;1;1;-0.4458595787377949
Pedro Neto;pt POR;FW;Chelsea;eng Premier League;24.0;2000.0;35;24;2269;25.2;4;6;10;4;0;0;8;0;3.5;3.5;6.7;10.2;126;60;253;0.16;0.24;0.4;0.16;0.4;0.14;0.27;0.4;0.14;0.4;1;1;-0.48193409050946245
Jadon Sancho;eng ENG;FW;Chelsea;eng Premier League;24.0;2000.0;31;19;1764;19.6;3;4;7;3;0;0;2;0;2.2;2.2;3.7;5.8;102;90;225;0.15;0.2;0.36;0.15;0.36;0.11;0.19;0.3;0.11;0.3;1;1;-0.6713111113169198
